"chunk_number","dict_reg_coef","groupKeys","id","name","test_best_historical_mse"
"0","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","6mz82x1l","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545640_chunk0","0.2018792010364736"
"4","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","f4vri1j9","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545644_chunk4","0.4047100435487732"
"0","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","r4yefcmx","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545615_chunk0","0.19551840771319431"
"8","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","bowfjbb0","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545623_chunk8","1.0260139585113526"
"7","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","kv79d8it","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545647_chunk7","1.4528257437319834"
"3","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","uy7gvxau","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545643_chunk3","0.3289806985060825"
"2","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","vt9xxb51","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545617_chunk2","1.082324214778756"
"6","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","iw7p0e9o","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545621_chunk6","0.939921957420246"
"1","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","ywut8n53","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545641_chunk1","2.6261035211579884"
"5","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","g8wq4ege","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545620_chunk5","0.9399524649043448"
"4","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","vpbm2vld","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545619_chunk4","0.382758750348092"
"8","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","uzj7zgwb","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545648_chunk8","1.042487999477533"
"4","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","gug47v6u","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545643_chunk4","0.40237690218802685"
"9","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","w581tc1o","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545649_chunk9","0.3032544095556086"
"7","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","isf5ulu3","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545791_chunk7","1.403200794985966"
"1","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","qgrf5esr","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545616_chunk1","2.54109756884183"
"5","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","k9z30ctk","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545645_chunk5","0.9437929381454176"
"0","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","v4y17lbm","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545639_chunk0","0.2025889455859456"
"6","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","iefjfgkw","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545646_chunk6","0.9848034315184748"
"3","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","wdldws12","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545642_chunk3","0.331850541237334"
"2","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","dlgty2z3","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545642_chunk2","1.0832561691335918"
